snp_ids_standard,feat_importance_standard
523203_3,0.0009823849
12618321_1,0.0009823630
26475875_5,0.0009814878
10609901_3,0.0009726553
20829152_1,0.0009706740
21240665_5,0.0009687719
20896027_3,0.0009680671
781545_5,0.0009631081
23911184_5,0.0009630196
15645004_2,0.0009601522
22528085_1,0.0009592954
10081447_4,0.0009585349
5579127_2,0.0009572007
7069850_1,0.0009513094
5978070_4,0.0009509836
17400253_3,0.0009486286
18345792_2,0.0009479827
22374510_5,0.0009448562
15896412_4,0.0009435648
5774206_5,0.0009431005
20358695_5,0.0009427013
8920398_3,0.0009417892
22780216_5,0.0009409254
15405414_3,0.0009409071
26925781_5,0.0009336470
8924316_3,0.0009319196
16697874_5,0.0009303554
16453880_3,0.0009298239
3428135_1,0.0009283710
5040765_1,0.0009272722
12971630_3,0.0009264841
26107143_5,0.0009259068
24593465_1,0.0009255503
9877241_3,0.0009242622
3917697_2,0.0009237937
9042932_5,0.0009234845
16918002_3,0.0009211257
17977258_5,0.0009208431
13152474_2,0.0009206986
18268498_4,0.0009201783
16420202_1,0.0009192391
5781931_5,0.0009175094
26719773_5,0.0009166589
14010774_5,0.0009128335
26606136_5,0.0009122104
13883881_3,0.0009116414
14163594_3,0.0009091008
25801972_1,0.0009080127
12072938_3,0.0009073512
19860910_5,0.0009056960
6525749_2,0.0009054099
15792285_3,0.0008959792
17834645_1,0.0008943377
10077600_1,0.0008941280
5160162_4,0.0008940275
12585953_4,0.0008909797
13437434_3,0.0008907929
24137589_5,0.0008904032
4417278_1,0.0008871963
6498603_2,0.0008865401
10127004_5,0.0008864378
306879_5,0.0008839444
7597930_4,0.0008834746
6427452_2,0.0008820371
7645187_3,0.0008819563
4570381_4,0.0008809365
5928767_2,0.0008805783
12362145_1,0.0008799426
4355903_1,0.0008789125
8382774_4,0.0008784107
7117559_5,0.0008754065
7154485_5,0.0008725635
9696333_2,0.0008718655
21508747_1,0.0008711203
16765206_2,0.0008691866
7916451_1,0.0008683859
3664426_2,0.0008680369
9685007_4,0.0008665145
5305175_5,0.0008638396
9060184_2,0.0008632539
9560996_5,0.0008630461
14979867_5,0.0008623417
7267590_4,0.0008623078
5171203_1,0.0008611185
18706860_5,0.0008605537
5395092_2,0.0008576960
4631567_4,0.0008566623
13158480_3,0.0008565599
4610617_2,0.0008561285
13130372_1,0.0008558732
7623742_4,0.0008553800
5683889_4,0.0008549925
12957651_1,0.0008469887
17452101_1,0.0008463955
25392331_5,0.0008448356
11708353_2,0.0008439149
8677973_5,0.0008394740
9697517_5,0.0008388417
12746128_1,0.0008361067
582195_4,0.0008354133
4750652_3,0.0008338596
14083742_3,0.0008333394
11934977_3,0.0008321179
6067929_2,0.0008317220
1065083_2,0.0008301618
23205180_3,0.0008284198
12388145_3,0.0008259192
25525158_5,0.0008250715
18508806_5,0.0008241298
15925230_5,0.0008239258
4284641_2,0.0008236762
21262597_5,0.0008194609
20434981_5,0.0008191968
3770670_1,0.0008173324
1816708_3,0.0008084141
5920956_4,0.0008080924
25937187_5,0.0008077353
8590439_3,0.0008058874
6945863_4,0.0008054127
677311_2,0.0008051640
1071206_2,0.0008048002
6988348_4,0.0008038895
4948162_4,0.0008033308
18456163_5,0.0008025814
28995738_1,0.0008021258
23188922_1,0.0008018827
6122337_2,0.0008017674
16910734_5,0.0008013043
3630196_3,0.0008010167
22560818_1,0.0008003918
16194891_3,0.0008003044
13542109_2,0.0007992900
5305328_3,0.0007985136
23213845_3,0.0007978853
15715578_1,0.0007960344
13972543_5,0.0007957589
4704664_4,0.0007954562
15652637_1,0.0007946955
12139472_5,0.0007933600
11529510_3,0.0007932935
11677085_1,0.0007926288
9181815_3,0.0007902519
4015185_2,0.0007896749
13162460_4,0.0007882543
16682716_1,0.0007875390
9921788_3,0.0007865231
9359707_4,0.0007860561
7098956_1,0.0007854510
18489454_5,0.0007824337
8029400_3,0.0007822033
6669680_3,0.0007822016
16420357_1,0.0007814769
25331689_1,0.0007810970
22889386_5,0.0007763837
2663556_4,0.0007760044
12615802_4,0.0007752019
23853689_5,0.0007748115
2682775_4,0.0007742460
3582116_5,0.0007729356
9183666_4,0.0007713779
203065_5,0.0007693484
1136930_2,0.0007692944
17690386_1,0.0007677777
4136550_4,0.0007675076
7032484_5,0.0007668186
24656649_1,0.0007666038
2934943_2,0.0007661910
27335997_1,0.0007651233
7077086_1,0.0007641355
9510064_4,0.0007638768
19131608_2,0.0007634160
22980766_3,0.0007631628
18588076_5,0.0007629676
19595003_5,0.0007625648
9420338_1,0.0007607022
13139670_3,0.0007606964
16925716_1,0.0007594057
3828028_2,0.0007593110
15732011_3,0.0007586359
4414792_4,0.0007570612
7863803_2,0.0007567177
1099204_2,0.0007566225
19403812_3,0.0007561171
18072672_2,0.0007552927
22923009_3,0.0007549025
8242058_5,0.0007544317
8035772_1,0.0007540840
4042470_5,0.0007531960
6814362_2,0.0007530712
18510070_5,0.0007525689
7060721_2,0.0007511860
21927010_5,0.0007507591
17912249_5,0.0007477554
13550926_5,0.0007456772
9648466_5,0.0007456301
12723945_3,0.0007454256
14298769_3,0.0007453725
22222339_5,0.0007452979
11784959_3,0.0007415989
2505281_3,0.0007411483
90974_4,0.0007411106
7883674_2,0.0007400905
1259350_4,0.0007387294
9791465_5,0.0007379989
17722806_5,0.0007378332
3103453_4,0.0007367521
20786417_5,0.0007366344
12629736_2,0.0007361589
1267855_5,0.0007347014
14799430_3,0.0007344598
17146535_5,0.0007332777
15513917_1,0.0007330610
8777977_4,0.0007322738
1114804_4,0.0007308802
3235220_2,0.0007299523
8393236_5,0.0007277712
6052131_2,0.0007273722
458157_1,0.0007268446
12397755_3,0.0007264238
10169893_3,0.0007261212
9144512_2,0.0007259712
13242846_1,0.0007242496
20622179_3,0.0007232679
7243014_2,0.0007228361
23245619_3,0.0007223161
20444590_5,0.0007216101
7186107_2,0.0007199068
12497957_3,0.0007196064
12684733_3,0.0007179676
5858239_5,0.0007175641
1117838_4,0.0007173318
13082151_3,0.0007169177
20064988_3,0.0007157113
22918017_3,0.0007155096
2066208_4,0.0007155006
1231573_2,0.0007151376
7097123_3,0.0007138103
18700283_3,0.0007136896
6737619_1,0.0007135577
25486651_5,0.0007131072
17511827_4,0.0007126541
24325815_1,0.0007125816
24048604_1,0.0007124772
7378893_2,0.0007114965
17186677_3,0.0007111291
11824071_1,0.0007104577
22586126_1,0.0007092578
3919498_2,0.0007074390
8424451_3,0.0007069326
9101697_4,0.0007068545
1545931_4,0.0007042352
7499279_2,0.0007034629
22414302_1,0.0007032584
20514847_3,0.0007030927
16254509_4,0.0007028571
22867357_1,0.0007019073
18263283_3,0.0007016578
3810481_1,0.0007010130
19408245_5,0.0006998316
27435586_1,0.0006997732
12100428_4,0.0006990407
7066188_1,0.0006976337
21774656_3,0.0006969716
14737715_3,0.0006963956
16932794_3,0.0006956156
10470793_5,0.0006953607
23933547_5,0.0006953207
20728458_3,0.0006934584
918319_1,0.0006933717
18453438_5,0.0006912910
11135805_2,0.0006912343
13266240_1,0.0006907194
17727979_1,0.0006898957
811008_2,0.0006897342
11496466_4,0.0006894235
17423293_3,0.0006893488
6746238_1,0.0006888909
10222367_1,0.0006884964
29424565_1,0.0006870361
10589492_4,0.0006866851
14008034_5,0.0006866421
3939143_2,0.0006857968
24460412_5,0.0006857229
29196637_1,0.0006856842
3123713_5,0.0006855688
10356342_3,0.0006841302
6647253_4,0.0006822802
11118559_1,0.0006811361
7920372_1,0.0006810244
1292249_4,0.0006802200
22720175_5,0.0006798480
18395005_4,0.0006795319
18777848_2,0.0006791829
23910408_5,0.0006790777
9024793_2,0.0006782079
3499924_1,0.0006776029
7493544_2,0.0006772304
11069412_3,0.0006767996
1441225_1,0.0006763959
460345_5,0.0006755198
7580194_2,0.0006754662
5904016_2,0.0006750519
11761574_3,0.0006748398
20991677_3,0.0006747470
16422631_1,0.0006736580
14688870_5,0.0006730890
13241834_3,0.0006730279
4503886_4,0.0006723493
1075282_4,0.0006710984
19088535_3,0.0006708881
16196519_4,0.0006697396
15901216_3,0.0006683529
11665073_1,0.0006679097
17863984_5,0.0006675509
4176153_5,0.0006675109
26503029_5,0.0006669518
7878677_4,0.0006664382
6196415_4,0.0006660262
7138815_3,0.0006660090
7894981_2,0.0006654256
10851910_5,0.0006652958
7226674_5,0.0006648069
18818584_2,0.0006637809
14198317_5,0.0006632252
4134444_2,0.0006628676
3826796_4,0.0006624642
2864454_3,0.0006602318
1687056_2,0.0006597601
15365719_4,0.0006595537
8977977_3,0.0006590367
13258356_1,0.0006590367
14143247_5,0.0006576435
15924153_5,0.0006573718
26147454_5,0.0006573399
6527411_2,0.0006568843
2731720_4,0.0006566469
12385125_5,0.0006566291
7134360_5,0.0006542025
1447722_4,0.0006541126
15721338_1,0.0006538451
13174156_3,0.0006533770
913169_1,0.0006507387
604664_1,0.0006504606
8538010_3,0.0006504140
16607155_1,0.0006491293
25935120_5,0.0006487890
12109127_4,0.0006484467
6219432_3,0.0006483023
3702892_2,0.0006479900
8035183_3,0.0006479809
669220_2,0.0006475574
25434293_1,0.0006468959
16059567_1,0.0006468516
7076187_5,0.0006468331
12422017_3,0.0006459310
7732795_4,0.0006457770
12945027_5,0.0006451504
26271243_5,0.0006448933
13151914_3,0.0006445238
16970101_1,0.0006434499
17661621_5,0.0006431885
2241201_2,0.0006424506
5237104_3,0.0006415588
22196114_1,0.0006412719
20664197_3,0.0006410351
12960701_1,0.0006409784
11109578_4,0.0006397234
9791626_5,0.0006395542
17030746_2,0.0006387566
10336591_2,0.0006385686
22741080_1,0.0006383086
15123785_3,0.0006382254
29366507_1,0.0006377747
8049618_5,0.0006370560
712904_2,0.0006357811
16723282_1,0.0006354668
10574000_1,0.0006352754
13013685_3,0.0006350898
964154_2,0.0006337891
14443973_4,0.0006332568
24980246_1,0.0006318841
7334115_4,0.0006317940
4327997_5,0.0006314608
9435026_3,0.0006313922
13127645_3,0.0006309068
4830332_1,0.0006308132
7242424_1,0.0006300046
5908216_3,0.0006291363
12958221_1,0.0006285185
3945905_2,0.0006279327
8231278_3,0.0006268845
21866830_3,0.0006268332
19718341_5,0.0006255216
1114942_5,0.0006254842
3376065_3,0.0006247687
7097560_4,0.0006246300
6848476_1,0.0006245720
1537605_2,0.0006235618
10703374_2,0.0006235076
17587681_4,0.0006233227
17870853_5,0.0006231176
14435503_4,0.0006225743
26476138_5,0.0006217971
18640823_3,0.0006217698
11515556_1,0.0006216319
12769680_5,0.0006211333
20022541_1,0.0006204865
9567281_2,0.0006203200
20066046_3,0.0006197031
16911585_2,0.0006194832
7283232_4,0.0006191861
23342339_1,0.0006191625
8165420_5,0.0006176622
12466914_5,0.0006173322
7280818_4,0.0006173021
23706335_1,0.0006170126
14031459_3,0.0006170051
12972659_4,0.0006168387
8959560_3,0.0006164867
15308244_3,0.0006161653
10956332_5,0.0006160565
10210128_1,0.0006148199
29461063_1,0.0006145796
15232182_5,0.0006144584
12752096_3,0.0006141054
4048919_2,0.0006140885
7181496_4,0.0006139931
4341439_1,0.0006136654
25408905_5,0.0006132700
6982047_4,0.0006130460
10017795_1,0.0006122815
5150631_2,0.0006116364
14079726_4,0.0006112589
2827214_2,0.0006111902
20301258_5,0.0006109886
3399044_3,0.0006105973
3713601_3,0.0006090231
809634_5,0.0006080475
4216822_5,0.0006078698
8350562_2,0.0006076424
7876006_2,0.0006075553
9169472_5,0.0006071349
7646350_4,0.0006070965
23054788_5,0.0006067261
1667675_4,0.0006063175
7075633_4,0.0006060755
3685987_5,0.0006055313
6749394_3,0.0006050072
909236_1,0.0006042163
2729850_2,0.0006032163
9644282_5,0.0006024270
13870562_1,0.0006024214
5067514_2,0.0006014854
10816793_4,0.0006012877
6270912_1,0.0006011998
11122344_2,0.0005996712
6518168_5,0.0005995170
7248666_2,0.0005988609
20286041_5,0.0005987422
11291540_1,0.0005976706
17566684_5,0.0005975373
5277507_2,0.0005973638
13609979_4,0.0005971532
2251408_4,0.0005964115
17450225_1,0.0005961457
13112363_3,0.0005959347
22313701_5,0.0005956706
2946322_5,0.0005942101
16669145_3,0.0005938209
12355435_3,0.0005937076
8838604_4,0.0005936121
4069752_2,0.0005925116
6257811_2,0.0005918869
8723883_1,0.0005899971
4827474_4,0.0005891453
12946960_1,0.0005888346
15993990_4,0.0005875858
16689447_3,0.0005862866
6296971_3,0.0005862575
23201009_1,0.0005858187
3804716_2,0.0005856320
17129135_3,0.0005850816
12393117_3,0.0005850398
10912376_1,0.0005841774
6111520_1,0.0005835146
10037894_5,0.0005830906
8962736_4,0.0005825723
5722535_5,0.0005824562
3354915_1,0.0005811364
11994897_5,0.0005808601
14343283_3,0.0005804959
12223805_1,0.0005800946
4400425_2,0.0005792873
7311341_4,0.0005788216
306046_2,0.0005786383
15757629_1,0.0005780006
1876259_2,0.0005778686
17133716_3,0.0005778307
25798579_5,0.0005776733
16558649_1,0.0005774199
29465313_1,0.0005773309
16555538_1,0.0005771680
8440131_3,0.0005769978
9308038_4,0.0005769299
676811_2,0.0005768621
27029535_1,0.0005767973
19130461_2,0.0005766147
20434496_1,0.0005763465
11608052_1,0.0005761774
6756220_1,0.0005760083
2610800_4,0.0005758330
4411635_2,0.0005753546
8691921_1,0.0005753085
156659_4,0.0005750970
17108148_5,0.0005749695
10083151_5,0.0005747993
2867903_2,0.0005746907
7116144_5,0.0005740401
18310165_1,0.0005739715
5795382_4,0.0005737738
27114013_1,0.0005733397
1809045_4,0.0005723969
9756680_3,0.0005720910
23050310_3,0.0005717506
25487826_5,0.0005711690
18607864_5,0.0005709805
4276955_3,0.0005709470
25853134_1,0.0005708759
4468236_2,0.0005707228
13632037_1,0.0005703951
6523171_2,0.0005692658
23851082_5,0.0005685585
20648088_5,0.0005685507
1572053_4,0.0005682340
1637826_2,0.0005679399
13019252_3,0.0005670991
11630686_2,0.0005666227
10233234_4,0.0005664603
19422559_3,0.0005664412
11047571_2,0.0005660865
2676133_4,0.0005659683
12552021_5,0.0005656677
12763243_3,0.0005656620
468354_5,0.0005655276
9749512_3,0.0005650178
6288512_2,0.0005646398
21421283_1,0.0005644521
12685716_3,0.0005643982
3774267_4,0.0005639938
7271159_4,0.0005634241
5063828_4,0.0005631222
8967295_4,0.0005630179
8696926_4,0.0005626903
10102889_4,0.0005626004
6539109_2,0.0005623631
588681_5,0.0005622972
6874715_4,0.0005617830
17534157_1,0.0005615585
3831752_2,0.0005612598
5848416_3,0.0005610931
23745013_1,0.0005606401
1343003_2,0.0005601783
13069575_3,0.0005598887
13230677_3,0.0005598583
8312957_3,0.0005597439
8999770_5,0.0005589151
29361469_1,0.0005589118
17425581_2,0.0005586069
23528774_5,0.0005582917
12085144_4,0.0005579383
17441392_1,0.0005578713
6970532_3,0.0005578019
11371713_5,0.0005577817
1215578_2,0.0005576630
8696273_1,0.0005570097
25750641_5,0.0005556009
23778902_1,0.0005553033
7338721_5,0.0005546992
8218121_2,0.0005545449
25741994_1,0.0005538326
23022690_3,0.0005533133
22176360_1,0.0005530205
13037096_3,0.0005528774
15420636_4,0.0005527864
10230431_3,0.0005527536
6627691_4,0.0005524091
12094758_4,0.0005519182
9711271_5,0.0005518187
3658508_2,0.0005517994
11756791_5,0.0005509014
18526684_4,0.0005496304
16402396_3,0.0005495533
19034977_3,0.0005494609
16718208_1,0.0005493591
15409286_4,0.0005491539
13133916_4,0.0005478119
5129781_2,0.0005473698
16092490_3,0.0005471010
13824321_5,0.0005467558
13276343_1,0.0005466883
4511798_4,0.0005465175
19884118_3,0.0005460206
6757668_2,0.0005457789
6225462_5,0.0005456078
3677455_3,0.0005454782
30166267_1,0.0005452986
28341084_1,0.0005451606
10630460_3,0.0005443361
27635470_1,0.0005443119
4623076_3,0.0005436719
3053842_3,0.0005436493
14191491_5,0.0005434926
15909746_5,0.0005431945
10459449_1,0.0005431550
4973941_5,0.0005429357
7919865_2,0.0005414509
2909716_1,0.0005410721
9992714_3,0.0005410469
9670322_2,0.0005394340
13214002_1,0.0005392696
6277622_2,0.0005387523
9472200_5,0.0005386233
6089168_2,0.0005385746
2650309_4,0.0005360924
1291338_4,0.0005355101
16118581_5,0.0005352594
9123487_5,0.0005351090
24003637_1,0.0005350689
11779834_3,0.0005350590
125002_2,0.0005350212
22863490_1,0.0005344992
508686_5,0.0005343585
8920604_2,0.0005334112
1543314_2,0.0005331270
16599042_4,0.0005328939
16124883_5,0.0005317493
29990836_1,0.0005316561
3237101_2,0.0005315725
8765502_2,0.0005310654
16698327_1,0.0005301482
29218010_1,0.0005300604
12875936_3,0.0005290194
11588727_5,0.0005287380
24129633_1,0.0005286614
7943468_4,0.0005280027
17271330_2,0.0005278580
12431410_2,0.0005274839
10050686_1,0.0005271284
23340998_5,0.0005269403
9417382_4,0.0005267078
17179662_3,0.0005266584
6156057_3,0.0005266395
15430296_1,0.0005265809
15945465_1,0.0005260889
7838525_2,0.0005259288
6145356_2,0.0005258086
16054067_3,0.0005257427
19298178_3,0.0005256720
7048624_4,0.0005245838
3361362_1,0.0005244688
18083049_5,0.0005243693
18484138_2,0.0005235269
16243799_3,0.0005232587
9188819_4,0.0005226131
4263080_3,0.0005225646
20817944_5,0.0005223547
8482914_3,0.0005223377
16109612_4,0.0005223153
7928199_5,0.0005221483
18950100_5,0.0005219720
21534413_5,0.0005218313
4300275_2,0.0005217304
26388023_1,0.0005214910
9477343_5,0.0005212534
9255958_4,0.0005211623
22144730_5,0.0005203861
23834862_1,0.0005189021
4294048_4,0.0005187279
6384710_4,0.0005175120
18371332_5,0.0005171138
8533390_5,0.0005164311
4198860_5,0.0005156667
2800989_4,0.0005155355
8733473_4,0.0005153285
11618447_3,0.0005150551
3098453_2,0.0005147681
7234132_5,0.0005145281
1493945_2,0.0005145021
2090150_4,0.0005143471
18498555_2,0.0005141992
15028122_5,0.0005139991
10533109_5,0.0005137145
9312660_2,0.0005128487
14280581_5,0.0005126265
14591542_1,0.0005123956
18301196_1,0.0005120596
22255558_1,0.0005112392
4673781_5,0.0005111636
25757581_1,0.0005109743
13239282_3,0.0005108487
4374412_3,0.0005105978
17098813_2,0.0005105236
23127417_1,0.0005103553
19646888_3,0.0005102340
17844141_5,0.0005101447
10430952_4,0.0005099243
40754_2,0.0005093400
3750598_3,0.0005090485
6547426_4,0.0005088012
14997140_5,0.0005086867
15968213_5,0.0005085371
17400154_3,0.0005085148
22767636_3,0.0005080324
6814645_3,0.0005079472
8176970_3,0.0005078166
9619472_3,0.0005077491
9253822_1,0.0005077017
2534352_3,0.0005076852
8977009_3,0.0005076126
2284119_5,0.0005075213
27576837_1,0.0005074479
17586397_4,0.0005067773
16499378_4,0.0005067309
14115280_5,0.0005066134
12518336_3,0.0005064267
2661823_2,0.0005063394
11084399_5,0.0005062278
11102084_3,0.0005060826
24730836_1,0.0005056510
14697282_5,0.0005051913
11212552_1,0.0005051328
16210273_3,0.0005049838
24326038_1,0.0005049549
2595884_4,0.0005045276
10203236_3,0.0005044969
7896303_1,0.0005042913
18218608_4,0.0005041052
4072930_5,0.0005036379
19755997_5,0.0005035453
4599010_1,0.0005028024
21889553_1,0.0005024777
22066084_5,0.0005016619
18640905_5,0.0005016273
4427373_5,0.0005011936
9060035_4,0.0005011120
14460939_4,0.0005010911
3601563_1,0.0005009771
13178993_1,0.0005006374
23004775_1,0.0005002183
7759327_3,0.0005000747
9251777_2,0.0004999626
17258200_5,0.0004997334
3673568_5,0.0004985400
12141198_1,0.0004983630
20795788_1,0.0004982736
9178213_5,0.0004979477
24014759_1,0.0004975594
15377906_3,0.0004974001
3079011_1,0.0004973273
23182105_3,0.0004970984
4220013_4,0.0004969191
13268765_4,0.0004967270
2295746_4,0.0004964877
9741222_5,0.0004964650
7575533_3,0.0004964293
22926997_1,0.0004956451
17022363_5,0.0004950056
34217_4,0.0004948083
10153019_4,0.0004946100
12971599_1,0.0004945227
9550270_3,0.0004944812
16530852_4,0.0004934498
16613897_3,0.0004932237
7306536_2,0.0004929178
4261217_4,0.0004908831
18778863_5,0.0004902954
5247922_4,0.0004901747
7724533_4,0.0004895044
28473340_1,0.0004895026
13513344_1,0.0004893731
6675380_3,0.0004893111
21565301_3,0.0004892956
16773585_5,0.0004891663
16649495_3,0.0004888235
4009223_2,0.0004884960
13463936_3,0.0004882335
17979836_5,0.0004881535
16722362_1,0.0004881502
11594951_2,0.0004879434
8068364_3,0.0004877250
7042916_5,0.0004876020
1688820_2,0.0004875643
18662392_2,0.0004873291
21288633_5,0.0004872628
1262435_4,0.0004871726
14453297_3,0.0004868631
10427809_1,0.0004865569
16477560_1,0.0004858014
28678352_1,0.0004857008
12477181_3,0.0004857005
3641309_4,0.0004848103
1507535_5,0.0004846805
14182526_1,0.0004837971
4724997_4,0.0004837428
7779597_4,0.0004831453
26928917_5,0.0004829769
16382833_4,0.0004826421
17709478_4,0.0004816272
12338576_2,0.0004814286
14200492_5,0.0004807925
16032816_3,0.0004806944
16208319_4,0.0004797933
15549184_3,0.0004780985
24222095_1,0.0004775855
18090643_2,0.0004774870
3631092_4,0.0004774341
3731769_2,0.0004773933
9472053_4,0.0004771211
11979982_4,0.0004769883
15804595_5,0.0004757180
13187723_1,0.0004754342
464161_4,0.0004742283
25124331_1,0.0004739954
9978415_4,0.0004733505
21017177_5,0.0004725040
14665687_4,0.0004724880
5879048_2,0.0004724002
4842238_3,0.0004722516
10191105_3,0.0004715885
15568177_3,0.0004715009
12712612_2,0.0004714960
17795206_4,0.0004713158
12774445_5,0.0004709876
1982799_2,0.0004709675
8920742_4,0.0004704001
19709336_5,0.0004701662
9336898_5,0.0004700199
16252622_1,0.0004699959
21309027_1,0.0004688821
7221862_3,0.0004686740
8776022_4,0.0004684984
