sim31,sim32,sim33,sim34,sim35,sim36,sim37,sim38
6964207_1,16728663_3,20492823_1,627879_5,26158343_1,13312915_1,450833_3,8604836_4
12129387_3,1941073_2,10019000_5,5310611_2,9621410_3,24928187_5,10230431_3,18874009_5
24369458_1,10621350_4,25007513_1,8449165_1,24104681_5,8347511_3,19983414_1,4267654_2
17511836_3,6160847_3,11869674_4,15630824_1,2406288_1,3744717_5,21963043_1,8306316_4
17635216_5,13706061_4,12587434_1,4187270_4,17830074_4,4277934_5,13727701_2,20723192_1
10226353_5,3489389_4,10356824_3,13900695_3,24424686_1,17859465_1,16791028_3,5112988_2
9592961_2,1497551_4,15861677_1,2245237_2,5272957_5,7132765_1,8594088_2,21918127_3
6352336_3,1945340_1,9126393_3,12028022_1,6629932_4,16393601_5,3115249_3,29611588_1
4855016_2,24306356_1,16780585_3,17423660_5,22309584_1,2769147_4,26717770_1,5451771_2
11048635_5,11493671_4,13247215_3,18648441_5,794965_5,7960237_3,20801587_3,16739932_1
11322939_2,13476484_1,13377999_1,15033152_3,26111024_1,15367310_5,26091559_1,16632612_3
17166446_1,11124336_4,1227403_5,13090961_4,11612748_3,20519371_3,1760323_4,578696_3
8040854_2,9465915_3,13435371_5,4134062_4,20144246_1,13358373_3,8590700_1,7709676_3
7001065_3,15570732_3,550704_1,23144472_1,8568534_2,24850244_1,21494796_5,5560254_1
5690957_2,18686464_3,3377711_3,11321811_1,10769497_2,14908719_5,15565662_1,11356451_4
15811919_1,14915409_5,8469589_5,10898605_5,7925677_2,4543264_4,4731802_4,842114_3
22345557_1,27728272_1,271634_5,14304283_2,15044148_3,9506651_3,13511178_4,3787935_5
15935572_1,7017450_4,9700223_5,5796177_1,27358107_1,20129852_5,13102330_2,4916480_3
13942013_2,16282125_4,10271640_3,2310418_3,11867985_2,16582778_1,3483829_5,21949509_1
15730936_1,14767919_3,17197397_5,24126894_1,12892730_3,4584341_1,14894400_3,8290488_2
14894400_3,11485247_1,2246346_3,18333704_1,25290733_5,4417500_2,19678769_3,5830680_5
13470722_1,9161600_4,17439657_5,4469483_2,5137042_1,5830680_5,7296306_5,15517346_5
23866192_1,15830379_3,24872075_1,12332745_5,1614895_3,8403292_5,9370765_4,17032146_3
19272701_1,1607730_2,2082614_4,18374724_4,6962360_1,13217140_1,9467465_1,17905314_5
10773745_2,21685615_1,10220068_5,3569093_2,18573101_5,6846573_4,23517630_5,4110711_5
8618512_2,2764401_3,14246487_3,21868198_1,5995625_4,5921005_3,6472253_1,8805675_4
15486339_5,16868851_3,2553948_4,5335746_5,7643775_4,21242802_3,19429887_1,6964406_2
17271424_3,2322964_2,16530927_3,1184680_4,8596119_5,6290217_2,16669145_3,16458113_3
23874356_5,21052089_1,23237209_3,5258799_1,1537840_4,11499139_3,9319543_2,1865823_2
22407990_5,80062_4,5624619_2,7301748_2,23282777_1,3150438_2,5964729_5,11195852_2
21814314_5,10664266_5,10885323_4,16022382_5,12744779_3,3101676_1,13457371_3,2579824_4
14239943_5,14559517_4,15455661_5,9878994_2,21335796_1,14055703_5,5721115_4,23951594_1
6855625_5,791971_3,24052193_5,18805654_1,7704673_5,12487713_3,26814786_5,2897337_4
9590093_2,7601434_4,29825_2,15747054_2,12412904_4,22731641_3,6964406_2,13634784_1
8560581_2,13929749_5,8576766_5,22614072_1,13225619_1,3673927_2,24306356_1,10161039_1
8555833_5,13042819_2,22647557_3,11777063_2,8054662_1,23032273_1,5102218_1,16388992_4
17336929_4,16403383_1,22600690_1,5662373_1,13287618_4,24787142_5,16675202_5,3754520_4
25759793_1,14001566_1,729157_4,13441463_4,15949977_2,18584569_3,23832161_1,8387175_1
19896596_1,6945863_4,15730936_1,2379368_4,15865734_3,22528984_1,19640112_1,1439052_3
23521503_5,25748466_5,12355544_1,14147234_5,11184572_2,10632315_5,22316833_5,21305759_5
19527589_5,9380764_4,14217354_3,10812078_3,9409592_1,19919753_3,5746874_5,22806148_5
10764280_3,9337986_2,25874810_5,12971487_2,8923725_2,25235793_1,1430115_2,5806611_2
15659032_1,24647316_1,23532701_1,26765580_1,2648177_4,12416761_1,7855311_1,9975365_3
7947905_4,6601720_4,10318667_3,9102157_3,26292834_1,21718319_3,6814164_3,10239044_2
9577953_4,2699906_3,3304577_4,10154374_3,11270981_3,22596064_1,16050362_3,13271630_3
10180442_4,362690_4,24909996_1,5554083_1,12162724_1,11270981_3,23808396_5,5110942_3
5755543_5,15490602_5,8326952_4,10527605_5,14005043_3,17123095_5,10451461_4,952605_5
6116728_2,3760995_4,3584467_1,14563804_3,15726059_1,2175601_3,20160075_1,9274961_5
14899656_3,16655158_5,6274347_5,10946128_1,18775185_5,5964729_5,19108821_5,8368007_4
11588217_1,16707601_3,17827256_5,18401128_1,10989740_4,3532328_2,5301934_2,19268715_2
12120504_4,24615033_1,17028549_3,9576396_3,12499323_1,6540193_2,21423594_5,11039926_3
10323809_3,11649675_5,11534504_1,14965995_3,17225552_3,18675983_3,12975459_2,5288314_3
10359825_2,17423660_5,2239177_2,5023586_2,4321690_2,6079996_3,17697785_2,26081966_1
6629932_4,7329582_4,28906692_1,11823002_2,4799897_2,12648082_3,2584569_1,2737310_3
7301748_2,9227767_1,1556725_4,9232482_5,1976751_3,13117232_3,12630270_1,7667870_2
16727384_3,12182863_2,591030_2,4964686_1,17069034_5,1795231_4,16801097_5,17123095_5
7452227_1,17090955_3,26362302_5,15297472_3,10715413_1,17573786_1,13944769_2,3015209_5
7640841_1,22737046_3,168744_3,29564739_1,7393006_5,5190803_2,5068817_4,2086288_5
5864259_5,9084601_4,16056708_1,18414778_4,22206897_1,14389819_3,14216282_5,5129781_2
6666668_5,12179558_3,8925201_5,14625384_4,12198684_3,16068210_4,3129542_4,24078942_5
5031101_4,3913284_2,7791254_4,10230830_4,10833480_3,3325185_3,1906946_4,16129649_3
581249_2,21240309_1,10833500_1,10465805_5,5737628_4,13167674_2,7387311_4,21639248_3
19239123_1,15657538_3,10168773_1,6274347_5,12530350_1,15141271_5,16675841_5,10449368_3
2430037_4,2580095_2,13042819_2,4056808_3,21379374_1,18175608_3,17104545_3,6831478_1
28374134_1,20089779_5,5980300_4,4200228_4,18580907_5,8941924_2,4285417_3,17448836_1
19496953_3,17994615_5,12579963_3,9073744_2,593948_2,16196570_3,18584563_5,16219417_3
22117706_5,10880696_5,824984_5,6903468_2,21377990_1,25616198_1,9905983_3,9563903_4
5294595_4,7292761_2,1249309_3,13972375_3,1249480_4,29435465_1,20876182_3,12195075_3
14344003_3,3717818_3,18928819_3,15920216_3,16943968_5,16990943_1,17225581_3,969006_3
11027951_1,9682681_4,1021663_3,26081966_1,25434293_1,22875426_1,5090753_4,13143737_3
20498194_5,16499927_3,15593997_5,13921595_3,1831496_4,23719238_1,20065828_1,17952600_4
3823430_1,8208899_3,7074727_1,5933850_4,8148053_5,6508120_4,9230387_3,28867861_1
21399397_1,27933589_1,7095546_1,10293516_2,1795663_5,23598540_1,5155077_2,10004009_4
19983414_1,21167989_1,6511050_2,17187870_1,780582_4,19527589_5,9468468_4,8145934_4
11624640_5,25107807_5,22552890_1,16727176_3,8215995_5,22744610_1,21937882_1,13610240_1
11502523_5,1795231_4,15972712_4,16219306_3,10930096_4,120578_5,7627642_2,11967364_3
17171357_2,8612711_2,3884209_1,23344320_1,20092954_5,459460_4,4897351_2,18337160_3
19209557_2,5850771_4,16420991_5,10501716_4,15896412_4,17486872_3,8262438_4,7739777_2
25737998_1,10003346_1,16672728_5,5982359_4,23494111_1,917698_2,14070741_1,4855016_2
23967234_5,10274073_5,18235230_3,5785471_3,6578135_4,20953049_5,14587759_1,11803751_5
12835161_1,10922862_5,339648_2,17088830_3,4830517_1,16128294_1,17834645_1,9105626_3
13868316_5,11497272_5,3807696_1,11101196_1,6737619_1,5705306_4,7791916_4,12208283_1
16762689_5,29778654_1,23520352_5,14267224_4,5756429_2,15423285_1,5441956_3,19884863_3
21836373_5,15086964_5,13057244_1,5805246_4,12737999_1,13004559_5,18557906_5,9469466_1
24371285_5,6429645_2,8181009_1,29786090_1,5304826_3,6320682_2,353124_2,10033341_3
11505332_1,4710453_4,18018045_4,24337652_5,14109375_5,5238475_2,12798593_3,487713_5
12653803_1,16309481_1,17796678_5,10854472_4,17478591_5,15403744_3,4236524_2,12193999_3
16308174_3,1561816_2,14048000_3,17399941_3,6502070_2,9665280_1,9208138_2,22170721_1
4431540_5,12569412_3,2368073_1,22688843_1,12381117_1,19373646_1,13389381_4,1027897_3
17407675_1,12798593_3,15062527_5,14422832_3,10019853_1,5727758_4,17511795_4,16935386_1
12195573_5,12950751_3,17529958_1,17586370_1,7988607_4,3132349_1,14499053_4,4763833_4
17562249_2,15709850_1,8572312_4,10040879_3,19552244_3,15546589_3,28828589_1,10691337_4
21750744_1,22345557_1,18438426_4,3027990_4,14049732_5,17566695_5,280584_1,24016097_5
17106080_3,10763338_5,17891178_2,15020866_5,4081971_1,11590268_3,729157_4,9851377_5
18342923_5,5031667_1,21580887_3,6611607_2,10173735_4,8573610_4,22152508_1,7267590_4
7201021_5,16452761_5,24517108_5,16124883_5,8196182_1,20007778_1,2148985_2,1778521_4
6239692_4,12370155_2,24232114_1,23278866_1,8614652_2,7201852_4,9759409_3,16290111_5
21428827_3,9690502_2,15949977_2,3044196_1,1104273_4,11506285_5,957321_3,13024552_5
10617602_4,9917023_1,6717392_5,8420084_2,7384444_4,13051940_3,4065677_3,26155556_1
12737999_1,2008498_4,10651832_3,1749896_4,4187270_4,28593249_1,15739954_5,555221_4
1571563_4,10043089_2,10953529_3,1527552_5,11027951_1,10541585_3,6937052_2,1241276_4
19860910_5,17585895_5,18240209_3,19665543_2,14184362_1,1273924_4,15471286_4,7607467_4
8406343_5,10460089_4,811008_2,18473945_4,4447610_2,13318111_3,3113129_2,10669457_5
1062798_2,16939836_2,9919271_1,403126_2,23087840_1,2282031_2,3684595_4,6399867_2
10231124_3,794965_5,6831478_1,10256187_1,11497272_5,9035798_3,4504188_2,15858750_1
4776387_1,17075362_2,19272701_1,24384655_5,12831434_4,17952600_4,18486192_5,1966249_4
20129852_5,9995199_5,5672604_3,14990143_4,13109373_3,7978657_3,10218094_1,15297503_5
7344630_5,2771251_4,1066258_4,9747528_1,20994226_5,5711671_2,5836216_2,7573543_2
4577365_2,17592939_5,9052531_4,4327547_2,26505694_5,27457016_1,23494111_1,11775323_3
15026178_5,17220117_3,11966083_3,860022_3,16459662_3,15649056_2,7798276_3,17459243_4
15693597_3,844473_2,3612159_5,3149193_3,1083901_2,17522139_5,12607776_2,21693425_1
6323040_2,13900441_5,7735351_4,3871727_1,17493198_5,19714501_3,9290640_2,25913523_1
14389819_3,24849657_1,14241392_5,22240271_5,16485280_1,9425993_5,14385514_4,8791949_5
6094826_3,16627069_1,17394377_4,5961543_5,578696_3,6773568_5,15369385_5,9712892_5
7235580_4,4817094_4,15146328_1,822539_5,13167674_2,5510628_3,15810663_3,20897777_5
11823002_2,10475799_4,7948636_4,8596119_5,16416804_4,21727945_1,18562146_5,10752825_3
22081791_1,23351852_1,24271528_1,13326015_1,7890066_5,3601749_3,6485054_2,12760178_3
1292848_4,28405960_1,26040134_5,8290488_2,13513582_4,5904956_1,19382058_5,9038659_2
9435707_5,8496505_5,21603372_3,7228664_2,12425959_4,26688027_1,25451841_5,8030148_4
3190235_5,1478210_1,13227487_1,8512702_2,18881073_3,8247564_5,7400123_1,280584_1
10962472_4,10235684_3,10855138_5,16742504_1,8278577_4,9040791_4,10484948_3,18895956_3
21718319_3,21251842_5,4679096_4,3796676_4,9141159_2,12825916_3,14757789_2,29425652_1
26155556_1,16391930_1,10515474_3,12576313_5,20361853_5,22230684_5,19088388_3,252770_4
9810428_2,18972820_2,15707864_5,9236033_1,11372319_4,2097293_3,4503886_4,13241941_2
26327073_1,23951594_1,9832956_5,14582763_1,10220271_1,24682797_5,13873082_3,3786549_4
1593269_4,3434984_3,17032424_2,5500992_2,18600369_2,16201795_5,9899609_1,18686464_3
18675983_3,17275704_3,15403744_3,11691188_2,7759327_3,21318990_1,22720263_5,9996276_1
21368435_5,23324550_1,15798990_5,12825155_4,8140017_2,17475198_5,18391613_4,10460210_3
1893550_1,1737485_1,4531501_2,10935810_3,17679361_2,6075400_1,18573101_5,18420910_1
2368726_1,16107229_5,8442185_4,13057244_1,2855810_3,1089576_4,7960237_3,6523171_2
10173735_4,6430592_5,23698078_1,2375885_1,6891566_4,410128_2,24967270_1,9334678_2
23073726_1,15345806_4,4056808_3,10061866_5,22865034_5,10244336_3,2817422_4,9301038_3
16350589_3,7535127_4,4069599_4,11966074_4,1851251_2,7890066_5,17477787_1,10931954_4
1898077_3,17768999_1,6915443_4,26397032_1,4987532_2,18040673_5,8605031_1,924959_3
7104956_4,7434629_4,23205441_1,20032279_3,5502040_5,22809338_3,6846573_4,10582822_2
10849132_4,2293193_2,22718594_5,756864_2,2608227_4,6958965_2,9326218_1,9013356_5
17159699_2,472802_4,2893549_4,162418_4,26044185_1,12044400_3,25007513_1,15203742_5
25312297_5,9014594_3,1492988_4,1546131_2,13724594_4,220757_1,10308009_3,23042262_5
25785272_5,5863004_2,420879_5,1783338_4,29456816_1,13254372_2,6981497_4,726032_2
4070566_2,9301038_3,7175915_5,15977351_4,16171373_1,14641521_3,7336109_1,19751841_3
26612392_1,21242802_3,7909692_1,7601194_4,25992692_1,4578737_3,4911057_4,6095164_4
10088842_4,9076286_1,28374134_1,13470722_1,12824107_3,25376249_1,7533700_4,9258291_5
3198536_2,8071244_3,17361373_1,2739972_4,14002969_1,2998202_4,5419872_3,9235672_5
17724300_5,11230659_3,2993668_2,11783918_3,6861067_3,13283693_1,7602843_4,15663955_2
7333410_3,17255592_2,18486192_5,24874264_5,5385008_2,22529423_5,23950134_1,12842384_2
22272795_1,4830517_1,635520_3,16154018_1,11068246_5,24171859_5,22810240_5,8033576_5
8560912_2,13336465_1,7950219_5,11878231_3,1348626_2,10170115_3,4946123_1,10893418_5
17575484_2,5493758_2,14261547_5,25554531_1,22429394_1,4242429_5,11651451_1,19500980_3
21068391_1,17511836_3,6661202_5,9475913_5,1745975_4,16098353_4,9227767_1,21219585_1
8294932_1,9497792_4,11313443_5,9669479_2,9494421_4,13265481_3,10854472_4,16384112_1
21835390_3,610625_1,9700395_5,14715326_5,19276195_1,112283_4,5238351_2,6160847_3
2562149_1,22437138_1,15713194_5,24303828_1,5805846_4,16974676_1,1454990_1,15696951_4
15073813_1,7991785_2,16880319_1,14546134_3,24717424_5,11940059_3,8635035_5,14970684_4
12824107_3,9592961_2,2602862_5,15861954_1,1302704_1,9237109_3,16272283_3,1453266_1
12875890_1,13249964_4,22581886_1,8565769_2,22094154_3,11048746_3,6785059_4,26754590_5
12133292_1,9666473_3,9930806_1,2164968_1,4776387_1,12464707_5,6661202_5,3714009_1
28443831_1,20392433_3,3760347_1,11424600_1,7132765_1,22437138_1,5529886_5,13493849_1
2465182_4,15086494_5,22252705_1,417415_4,22744097_5,13001783_5,1342261_5,16723344_3
24553355_1,6876246_2,2265673_4,17708413_5,8554603_5,22174120_3,16314161_3,12750558_5
14858185_5,28494391_1,8238344_1,5307860_2,22194952_5,24436694_1,21437529_3,6403484_1
4623050_1,24202511_5,5317399_1,15429654_1,19500980_3,10952387_2,5487501_2,18241484_2
15150469_5,12744779_3,10893418_5,14840445_3,24682797_5,9487712_1,12069314_5,748895_2
15187565_5,20254286_3,22211911_3,24682797_5,2151277_2,25874810_5,8044739_4,5258799_1
629071_4,18946939_1,19462300_5,6741681_1,18947884_3,2648177_4,21940339_1,12928914_3
5721115_4,23868027_5,6540193_2,21584123_3,6601720_4,15346755_2,14062887_3,20957681_1
18754435_3,7400123_1,15070256_3,5288736_2,18865314_3,17805707_1,2937470_3,26327073_1
3530644_2,20399771_1,18675983_3,9019720_2,10933766_2,10140681_2,208851_1,826755_5
5156427_2,16844610_2,8890810_4,5756780_2,872216_2,9625382_3,17811897_4,23080664_1
11663067_2,9119534_3,15810443_5,12047520_3,21976250_1,53837_4,17425581_2,2854900_1
5918514_2,17565040_5,6918703_4,13131194_5,4296070_2,11227643_1,23184664_5,15370427_2
11313931_2,14795584_3,17620675_1,26449552_1,17272520_2,9272094_5,22607132_1,7825968_5
7413351_4,14402258_4,12116061_3,3378184_5,13231785_5,7699291_1,14756386_5,17174452_4
10811756_4,5770932_2,21171672_5,25917537_1,24280379_5,7393021_3,3630196_3,2175041_2
7496361_5,15852642_1,17162966_2,12877932_5,18010938_2,12018632_4,533537_4,8008014_5
17362929_1,11159973_1,22915077_1,10504327_3,11239921_1,2799512_4,12326851_3,21534194_1
7409180_4,19207976_3,7915234_1,30108485_1,8604836_4,26508218_1,591030_2,6068350_1
8015976_2,3632256_1,21582729_3,11553479_1,13524622_1,15487152_5,13768515_5,10318667_3
7448351_1,11462608_4,9200615_5,19705165_5,1560124_2,3180543_1,3044073_2,15850115_3
420879_5,8445864_3,24856062_5,2202590_2,7288433_1,9669865_3,10050260_5,6824356_5
15487152_5,1831496_4,22946581_1,18028434_3,12661335_5,22250816_5,23521994_1,2011109_5
16324920_3,13496725_1,14413048_3,2095340_2,21399397_1,13450236_5,17824285_5,11321863_4
6041541_2,5313014_3,23538554_1,173456_1,24204573_5,11054918_3,8226393_1,20889643_3
7777957_1,20936285_5,7017450_4,9305880_2,20976440_5,16586567_1,16164141_3,7448351_1
9422309_4,6890416_4,3151089_2,11460796_3,7614163_3,9584651_2,9029384_5,10152649_1
4234645_4,4896345_2,26920930_1,353124_2,820256_4,11424600_1,15025859_5,6902413_3
21983774_5,19560988_3,28918097_1,12867587_3,1432575_4,5045121_4,22009321_1,3377711_3
3958212_3,9766899_3,6913475_4,5299829_2,10277041_2,21850065_1,10006300_1,15516692_2
13526067_5,3579926_4,1049351_2,10649330_5,5507401_4,9013356_5,24356816_1,5436594_4
15488549_3,4273964_3,15724098_5,17493651_5,15342816_4,670849_4,10872296_4,18063839_5
5755331_1,16742504_1,487713_5,21436066_1,17493651_5,24071709_5,13057379_3,15764975_3
3028817_3,533537_4,255543_4,11484243_1,14241536_3,26533635_1,25105303_5,13476484_1
10515474_3,761588_4,15894899_5,28706941_1,13473045_5,11042645_5,12000368_3,917698_2
25280930_1,13895695_5,9996276_1,11925267_1,21852435_5,10201551_1,9002189_5,8208899_3
2406288_1,1193505_2,21157148_1,16236495_4,1233604_3,10162589_5,6187295_2,30245738_1
8234769_2,9225223_5,7134673_3,17408465_2,27119094_1,15143109_5,14413048_3,7907691_4
4471872_2,4968836_2,9413816_1,4583552_1,11794795_4,29786090_1,13592917_5,1787721_4
9596914_3,23237190_1,23144472_1,6795127_4,19342651_5,8554603_5,4802250_3,3673927_2
5125197_2,5555292_4,13493849_1,16963177_3,9170412_2,3978242_2,13356534_3,2235185_2
7864199_3,3167943_4,2660128_3,13265481_3,8008014_5,10651832_3,6290217_2,18486192_5
8848407_5,4855016_2,10803954_2,18773093_3,14802288_5,3664619_3,17210549_3,6742263_2
4726342_2,14009825_2,21852435_5,23946755_5,21937882_1,17588443_4,17691772_1,4726342_2
14200448_5,10326067_3,928530_2,17106080_3,326024_3,9998042_5,20943484_1,3200280_2
16655158_5,19896596_1,9221759_3,22801988_5,208851_1,2631233_3,2020833_2,1851176_4
10174825_3,2616550_2,16649253_3,5994159_3,2794280_4,17447601_5,1606533_2,12911657_1
108295_4,11991424_2,23307309_1,208851_1,436503_5,5881530_2,3617631_3,24197268_1
6995264_5,16632612_3,1403546_4,24708988_5,24436694_1,3770670_1,8577194_2,629071_4
12818216_1,6860954_5,3382794_4,7494698_5,4434155_4,17598011_2,20259221_5,15075936_5
7988396_3,9164527_5,7066855_4,2699906_3,10413555_1,13328344_1,6473282_2,16118939_4
2146671_2,4289391_4,9644766_5,11588727_5,25853022_5,727609_5,15716962_3,4470571_4
6727312_1,17830074_4,2047566_4,23349480_5,26425508_1,5217420_5,11089171_2,6941060_3
19736586_1,8566319_2,16162971_3,5049406_2,918319_1,6572765_1,2303138_3,2561007_4
1516454_4,9922764_5,13916201_3,16655158_5,29662214_1,22575402_5,10170115_3,5928326_4
16794771_4,10932004_1,24522389_5,6384167_1,21192453_1,15556319_1,3198536_2,23112548_1
17213843_4,11509077_1,13075393_1,12151386_2,9289657_4,18886261_3,12149004_1,25696579_5
4353768_2,8196182_1,4286180_3,24369458_1,3677170_3,23188322_1,11091689_3,5887161_3
144956_4,12434873_2,8790135_5,17098863_3,16028429_1,6860954_5,4314210_2,11657537_3
7981650_3,6707122_3,9032779_4,10989711_4,13164432_1,16280771_2,12167474_2,8148053_5
5258799_1,18578482_5,8152505_1,20743195_3,17361043_5,11193393_4,5087963_4,18154285_5
17767957_5,18463215_2,14142568_1,24678946_1,14709724_5,10372520_3,9747900_5,20170486_5
1342261_5,1998542_5,9199978_4,6719761_1,9469466_1,1792684_2,30142899_1,4698848_4
6230896_4,18201926_4,3075602_1,4021831_2,25185423_1,22138577_5,17144486_3,9102157_3
602439_2,24214601_1,11016729_1,17542926_3,2313818_2,11732666_3,10461546_3,13160532_4
9649728_3,11642237_5,11910919_1,14228061_5,1088195_5,4090027_2,7888242_5,9448188_4
23832161_1,9831860_3,7855311_1,17448864_2,19759271_5,2355333_3,15739177_1,2564591_3
19567903_1,6068350_1,1972426_5,16632077_1,24724771_1,16023947_1,10928439_4,1193120_4
10555901_2,17465987_5,12270867_2,12753454_2,12444267_3,16527021_4,3846031_2,1287117_2
2720605_5,20478922_5,18465409_2,6714346_3,15901805_1,12753454_2,12047520_3,13433692_3
6233506_4,17782580_1,22614833_1,18779159_1,19494924_3,22266153_1,2389672_1,30142228_1
22071317_3,1204512_2,5746572_4,15044148_3,8120676_2,25554531_1,11949610_2,9130378_5
10534106_3,18702629_2,14598929_5,7501698_5,24567608_1,11705249_4,8850355_4,6130793_4
8285372_3,22667195_1,12499323_1,12326755_5,162418_4,7640455_1,2462359_1,8832422_5
15865734_3,3711537_2,11480832_5,13831975_2,16046596_1,2825207_5,14206734_5,2265673_4
15764975_3,15546589_3,15896412_4,9168100_5,4944144_4,19303679_5,24995777_1,18631742_5
10406866_3,6661202_5,17729802_5,15522494_5,1478004_4,24469977_1,16151592_5,10649615_5
12832867_1,5487501_2,22425889_3,11462106_5,3116868_2,15800675_3,22868280_1,11427965_3
28584111_1,16249498_1,8927715_1,10661598_5,2252961_2,11953807_4,1538674_2,17524366_4
22439238_1,17621667_5,8030148_4,12621207_1,30172001_1,18296260_2,14840445_3,4148762_4
8178363_5,5692658_1,12297989_3,2831180_2,28208026_1,14344003_3,9973406_2,26388406_5
15611661_5,15861740_3,26952601_1,11966083_3,5118629_5,18391613_4,23868027_5,12082555_4
16402441_1,18319171_2,6779176_4,28676969_1,3562537_4,616986_5,9651156_3,24856062_5
5081171_3,6904774_4,13259101_1,15110092_2,15552978_5,6013616_1,9590093_2,16649602_3
13592917_5,7104838_4,7413085_3,7112484_4,17666599_1,12815710_2,7135677_2,4883840_3
1528019_1,9143942_2,13624609_5,5090862_4,8451972_1,3159305_4,610364_1,7062297_2
24286469_1,2011109_5,5502460_2,1850315_4,338402_4,6223343_4,8490537_1,14115817_3
16883905_1,785547_4,17035180_5,18584569_3,1620561_2,18972491_1,10909592_4,16122680_5
5355708_1,2022756_2,14273195_5,18463557_2,23929558_1,9310640_2,14628108_4,24121730_1
18025932_1,2848221_4,28394834_1,26696223_5,6676968_3,1522288_3,22915077_1,8085981_4
13989180_5,17833995_1,7894981_2,22441622_1,12206988_2,1227403_5,18090385_1,4277174_3
