sim39,sim40,sim41
1609073_2,5330652_1,8554603_5
10062142_5,9497792_4,7890326_2
22012016_1,13834271_5,11313365_4
12013755_3,14198358_2,16694826_5
23294214_3,26352335_5,24705394_1
16601551_5,7573543_2,18380379_1
13140711_2,28101409_1,10220068_5
420879_5,8664833_4,2592940_2
17885151_4,18365634_5,14261547_5
16786340_5,20497498_1,1596198_4
13768507_5,9187130_3,9252148_3
8590700_1,9442470_5,15912799_3
20549747_5,4900510_1,8925201_5
23282910_5,18374642_4,18170392_5
17412399_2,10628883_4,12760178_3
4763305_4,26102687_1,17464173_3
25746060_1,14239943_5,15814194_5
10543629_5,14242612_1,14288305_4
9770232_4,16590347_1,10946128_1
22490474_1,17840704_5,11227643_1
7167380_2,6168540_1,10356824_3
26465248_5,22316833_5,2540013_4
16764572_2,23451472_1,8158758_1
14563804_3,5049406_2,19749314_3
11644820_1,22090017_3,2893549_4
15977351_4,22613991_3,13576785_1
16011929_2,5921181_2,9025862_5
12464707_5,1478210_1,15094446_5
16778960_3,9275198_4,23509332_1
310352_5,16196570_3,761588_4
4911057_4,23087840_1,10863655_4
23521503_5,1042822_5,10962472_4
9639072_2,13896342_2,17952600_4
17272520_2,11828684_1,9136668_3
16670294_5,15656964_3,24280379_5
18204331_4,8226393_1,25075719_5
1766461_2,8427224_2,9103600_4
9680448_3,18280827_2,1773134_1
11424600_1,25436381_5,23598540_1
1257486_2,6172574_2,8974144_4
18312230_2,17791534_3,15965045_1
15921704_5,9582447_4,16605651_3
26952601_1,6648719_2,16159827_5
11493671_4,3151089_2,25263868_1
16275975_3,1893917_1,7482479_5
17160780_2,24522389_5,2549107_4
10193689_2,18109651_1,13393057_3
5016394_4,2525666_3,17673790_3
17332381_5,21032764_5,1613839_4
375101_5,24436694_1,9739614_1
21565550_1,15073813_1,25696579_5
10552899_5,5954798_5,3536367_2
12511372_3,12243235_5,4944144_4
12840486_2,5726656_1,3575423_2
7282656_5,16655990_5,16310601_5
9827956_5,5081171_3,16154018_1
5023309_4,18156434_2,5805846_4
2650930_3,4223142_4,17496620_3
11834890_2,17109883_4,18806415_1
312054_5,19755997_5,17768999_1
18292388_5,17231642_2,5912364_2
13586250_4,17197397_5,16694355_5
6141694_2,6223343_4,2014746_5
13312915_1,15995652_1,20144478_1
16065690_1,7744444_1,4911057_4
8068152_3,5625167_4,3287312_3
5755543_5,21194904_5,18209723_3
18935252_1,6405979_4,7681823_4
12835161_1,8547814_1,1489236_1
7520617_5,20416827_5,18648441_5
7811724_1,3150578_2,23084576_5
22319579_1,15900843_5,25116401_1
18451531_2,28332870_1,7967682_5
3211814_1,4106567_2,14628108_4
8077577_2,22955942_5,8311924_1
26476138_5,11530032_3,11971828_3
21494098_5,7120804_3,12590495_5
4187270_4,17003432_5,11388092_3
2020833_2,22552890_1,8152505_1
25369315_1,15062456_4,22278720_1
5511389_2,4220145_4,16039029_3
19443621_5,10541585_3,16263407_2
6937940_1,17256832_2,18261453_2
4400877_4,12748930_5,8556582_2
22688843_1,417415_4,2993668_2
12891259_4,19501256_1,27952853_1
1096604_1,24577197_1,18069825_4
162418_4,17383038_5,23503446_1
8037447_4,14922133_1,2998383_3
924959_3,19033026_2,18602334_3
25263647_1,6668177_5,12044400_3
10768694_4,23882947_1,17390309_3
3442400_3,21011520_5,18259189_3
6044179_2,1069928_2,10374084_1
16353832_1,8591285_1,23967234_5
24081185_5,1133094_5,22601109_3
13253940_1,875169_4,3777950_3
22221278_3,20994226_5,8811946_5
19686238_3,24982850_1,2576780_3
18751974_3,18841388_2,1011699_4
4606249_4,21533849_1,7627642_2
10802287_5,12744779_3,10799357_4
21993894_1,9152347_2,9098334_5
10529628_4,10913712_4,16664306_3
11279517_3,21835337_5,18017334_5
23029632_1,26707891_1,11930658_1
1055426_1,18629892_5,9218188_3
4063902_1,8569931_1,3439695_1
4106567_2,528455_1,14241392_5
21983774_5,16122358_1,18484721_5
13229842_3,2574227_4,18394378_3
6068350_1,17585895_5,9459666_3
5221539_5,8004429_2,4221289_1
15113528_3,14216282_5,14950982_3
5078627_4,28516097_1,15132625_2
6717898_4,26579390_5,16010819_3
3399177_4,9485815_4,16063429_1
7765617_4,5507827_3,15739239_3
20410327_3,11621357_4,8890810_4
10110854_3,8853614_4,827684_5
4780924_2,6463716_5,9031260_5
23042262_5,18278257_3,16368313_3
11979859_3,12502096_3,626498_1
19113897_5,7730610_4,16219306_3
6079690_4,4261217_4,676195_1
16559401_1,14858089_5,18018045_4
1204781_5,13675184_4,21868198_1
2077317_4,20953049_5,7811724_1
4141101_1,17402319_5,13554601_3
12975459_2,16184184_3,12518808_3
19772883_3,1089576_4,23794627_5
7888242_5,14980987_3,3205987_2
16061496_3,18779159_1,5586316_1
591030_2,15560660_5,23571935_1
8512702_2,13942013_2,7262299_4
29623637_1,25160456_1,2897337_4
4507337_4,2815989_3,17197397_5
24977535_1,7781711_4,7400123_1
16289557_2,1747159_3,9809173_5
18603039_3,27053046_1,10886342_1
24325815_1,7741209_1,17059353_3
8427224_2,18596779_3,11082343_3
19050230_1,11559225_4,10353515_3
20504894_1,19209557_2,7030376_2
12613157_1,9652642_5,19689059_1
23496223_1,24705394_1,2463724_2
19289004_2,16259854_5,17400253_3
6876246_2,17505039_1,9290640_2
23195291_1,21679505_1,16381683_3
6148918_4,1091914_4,4426368_3
17978563_2,3740946_2,16406998_1
18074738_3,9178119_4,18171053_1
1302704_1,3644066_1,4989689_4
8702462_5,5796177_1,24962078_1
4143720_4,26912662_5,15150469_5
3212201_1,13125196_1,2218463_4
5798711_2,25290733_5,2004468_4
13923374_3,26920930_1,10952387_2
9537807_4,11780127_3,17621247_2
21370086_5,4479326_2,10326067_3
16951927_1,9621410_3,5479505_2
18114490_5,12971267_3,8568534_2
10040366_4,20320045_5,173456_1
13871943_5,14494640_1,24661463_1
10561246_2,7704673_5,17813166_4
15508260_2,6515070_3,6864097_2
4118591_3,9925397_1,22103804_1
17628521_5,22553377_1,11128357_1
8485966_5,5327111_3,13514762_4
9199831_5,20504894_1,7606162_3
13638509_1,1878274_4,15284377_5
12477181_3,13099798_3,18692392_5
3884209_1,18070101_3,15822773_3
7994527_5,5065628_4,5218186_2
17126460_5,17032529_5,735370_4
26922046_5,16317431_2,15322119_2
10033341_3,4574187_4,11786205_1
15852642_1,18909545_5,9933195_5
22085887_5,9307939_2,3849822_2
11911717_4,9690917_5,15429654_1
10735038_5,2549107_4,2352668_2
8856569_4,4612383_4,1545931_4
8156679_5,1593269_4,8630720_1
7389922_2,13202925_1,15995652_1
19046091_1,29742718_1,22581886_1
20699728_1,12412904_4,8234769_2
22081791_1,2375885_1,14066391_5
9031316_5,25235793_1,22372657_3
11593947_5,8368054_1,8565769_2
8892361_4,21572421_1,22950034_1
22317294_1,17436122_5,18773093_3
7602843_4,2132555_1,8845655_4
15747054_2,4009962_1,1925625_2
16050757_2,11485439_1,19404349_3
24724771_1,5478009_4,24364603_1
12531265_1,11966083_3,1923937_1
10219080_5,4366105_1,3517189_2
11225664_2,17526019_3,9423357_4
9478792_5,4032583_2,22613670_1
9584651_2,511781_2,10664266_5
17256832_2,5590779_4,637202_2
18773093_3,5805246_4,9861974_4
17166446_1,11777284_3,16786340_5
4447610_2,4680889_2,5513303_5
5049406_2,4481235_1,4334284_1
4591695_3,6356146_3,6742221_4
814716_5,1537840_4,21763292_1
6673441_3,28877269_1,13512542_4
16333132_5,22902208_1,18329785_2
7268993_2,10511459_5,10170332_4
5887161_3,13209517_1,7432185_2
6055989_4,7486946_5,12951864_3
3075836_4,19547600_5,12412074_3
20254286_3,6191610_4,12981614_1
8479079_1,26471326_1,12393315_3
18558699_5,11691148_2,7759327_3
9015462_3,1431913_4,18999546_3
17816640_1,26367275_1,5727758_4
19194585_3,29852287_1,3879975_2
14922133_1,15755850_1,1043326_5
5062746_4,18631742_5,6403929_2
5220350_5,12152621_4,12076722_4
8927982_3,13150642_3,14385514_4
14614889_3,6446946_2,10977701_5
13915551_2,17272520_2,4739979_4
24225762_1,8369743_1,13152474_2
494953_2,18575370_5,5369680_4
5878809_2,8383601_2,21310273_5
6737672_4,4954850_5,21596695_1
19665543_2,7790490_3,11964177_3
5995625_4,11313931_2,26696223_5
11389844_5,21516795_5,13837975_1
10895233_2,12326755_5,3570962_4
5350515_5,22809338_3,2072711_2
8613698_2,2110593_4,9494115_3
5623663_4,11765681_3,16402441_1
16206886_3,1765859_4,28332870_1
10554593_3,19456184_5,16128294_1
23237209_3,9376795_1,20957681_1
15132625_2,21064582_5,8577931_5
5133333_1,21972410_1,12663054_3
12771374_5,13886771_4,12867587_3
5381346_5,4251309_4,10579291_2
26161406_1,5430236_4,18085416_5
3197158_5,10536903_3,836572_5
11573981_4,21929920_1,5590779_4
989939_2,1924957_3,16290746_3
1560124_2,564476_1,6757166_5
16656644_5,10655616_3,1972426_5
11786576_5,5746572_4,14051719_1
9340418_4,13927864_4,18507959_5
24031784_1,23351852_1,17903842_5
659340_1,1467912_4,26508218_1
13265481_3,11427216_3,10926642_5
8833256_5,17356834_4,18212176_3
22080493_5,12709018_3,18862737_2
23744034_1,7492523_2,12334047_2
1485932_5,19624087_1,6541732_2
10917373_4,15827782_3,8873004_5
9447493_5,23003001_1,4493633_2
791971_3,5518567_1,24081185_5
8584844_1,16972849_4,10860814_4
6715151_3,13050682_3,19385988_1
20196693_3,18035123_3,25179772_5
13819061_2,8577194_2,11556486_1
28755541_1,21583267_1,3542029_1
13997301_3,16912085_1,18165888_2
19231672_1,5625961_2,16385724_5
22729863_1,7224103_4,26020580_5
25376249_1,4075504_4,15929009_5
10834142_3,21377990_1,3377711_3
21185180_1,22394091_1,10088842_4
12538295_5,7331400_4,17408465_2
11699293_4,11667093_5,11327716_1
5786700_2,7452227_1,10214491_5
8420815_3,2372235_2,10183563_3
16576601_3,10814757_2,2368073_1
13528317_2,12227174_1,9205825_3
13738332_4,7421465_2,4946123_1
15900843_5,9122372_5,6151790_4
17053053_3,17597070_3,17336929_4
11657537_3,9680448_3,4013112_2
17370749_1,4673781_5,459895_3
23320550_3,17464173_3,648665_3
11588727_5,12538295_5,21827684_3
25737998_1,21574114_3,8614387_5
2004468_4,1606533_2,13287618_4
17681321_2,5953410_2,20221929_1
13049538_1,22797353_1,2223395_4
3037445_4,2333509_5,12217477_3
13451464_5,13265481_3,1292368_4
29810594_1,12187378_3,811008_2
12149584_3,20782448_1,3101676_1
5319435_2,16347713_1,8576766_5
16399525_5,13648885_5,22559389_1
14423068_4,5286821_2,5909172_2
2722312_4,22161549_3,13164689_3
2847720_1,7333410_3,21937767_1
17961624_1,13886675_4,880685_3
261713_5,21026464_5,18768488_5
2486347_2,4578737_3,13019902_3
18852708_5,15739239_3,12162010_3
3286267_3,18768488_5,23320550_3
17487284_3,16274173_3,6916916_2
26268808_5,10896907_3,4667582_3
9161600_4,22407990_5,842373_3
17865562_3,23808464_1,5565066_3
22284306_1,3503411_4,13989180_5
4525433_2,6958965_2,4645081_4
15508903_5,22284306_1,1100093_1
19254884_5,16694296_3,1924957_3
2909674_5,11241129_1,15945873_3
7413351_4,10031757_2,24071709_5
15704813_1,8088947_1,23057633_1
15746200_3,1867483_4,7187195_5
13024686_1,16452723_2,3791497_4
25926234_5,2650930_3,8030677_2
6810846_1,9608295_5,16837112_2
4216822_5,9318768_2,22915077_1
23199420_1,18069825_4,4134062_4
24534477_1,811008_2,17320330_1
5502040_5,14523330_4,6878842_2
1287117_2,13476484_1,23237209_3
8122172_3,23788431_1,22817039_1
16023947_1,24104845_1,23792062_1
3083720_2,22327801_1,1358571_4
15668809_3,1203042_2,15146328_1
13160532_4,16723344_3,7873319_3
12101371_4,1090449_4,22583967_5
6047341_5,12443904_2,21754219_1
29304339_1,19465128_5,19576851_1
4697355_1,14113888_5,941394_2
22089443_1,7407041_4,3631659_3
6773568_5,16365630_5,22117706_5
3436685_3,12499323_1,13025977_2
23003001_1,10809963_5,6735228_4
6009532_4,2847392_2,580315_5
6670372_3,16184049_5,7948636_4
6338144_5,9110059_4,29564739_1
18296260_2,5154213_1,16651865_3
10108278_1,17054440_4,10271640_3
10231124_3,23261687_1,27119094_1
22624716_1,1865823_2,353124_2
10510346_5,4651799_2,22575402_5
25874810_5,7520617_5,7993245_2
6717392_5,3027990_4,18273232_4
23163349_5,13885835_3,4247429_2
5031667_1,495164_1,9260010_3
7669767_3,2238483_2,2174640_4
22493403_1,14715326_5,15803460_5
15945873_3,24491923_5,30142899_1
6869916_5,18711207_2,23783404_5
12865852_3,9651156_3,8044739_4
16739932_1,29701769_1,5030964_5
18010924_1,20713368_3,14183353_5
5347317_2,3963892_3,7104400_2
10843375_3,4798328_3,19540918_3
15715578_1,14252718_3,1966249_4
7676161_3,25591621_1,25747125_1
22106638_1,16201795_5,22094544_5
10836640_2,6026235_5,2234374_2
5360977_1,14281702_5,26698573_1
16662626_3,6472253_1,19231672_1
14451403_4,6539109_2,7129295_4
7486296_5,5510628_3,29456816_1
17611719_3,8000274_3,1069082_4
16040017_5,9535050_4,16268027_5
8352647_1,3581093_3,18779159_1
8469589_5,894328_2,10749362_2
16735011_3,5075455_5,2683975_3
6661202_5,17766394_1,8654704_3
5357140_4,2368532_3,22550859_1
14400534_4,5031101_4,8590439_3
18089716_2,18127023_2,26171870_5
12912108_4,18557906_5,19737631_3
830155_1,2595477_1,1329450_4
17144486_3,6700291_2,7663883_4
10525351_2,16129649_3,2825207_5
2150069_1,29124709_1,8359396_1
19749314_3,2389852_1,5928326_4
4968836_2,26477396_1,867211_1
14009825_2,3932885_4,28314640_1
26811885_1,14777457_4,18966311_1
10828127_5,11596092_5,10504327_3
12529389_3,7521130_4,12840486_2
19295026_1,2256721_3,17697785_2
6135856_1,7170038_5,13571143_3
11488970_5,8584844_1,16812578_1
16187984_3,5794080_4,13463761_3
3617631_3,26292834_1,17580566_5
17493651_5,3763015_1,17130101_3
10890422_4,12733860_3,1091914_4
24874264_5,9422309_4,15372850_4
22738592_3,22528984_1,15387832_3
16118939_4,12426218_3,6463716_5
9146670_2,8245968_5,3865850_2
2615287_5,574060_5,17343941_1
22521432_1,24964953_1,10006300_1
10746913_2,26790168_5,24592454_1
22886784_3,21830861_5,15353398_2
14065870_3,21309832_5,4519908_2
9953151_5,5013008_4,5187195_5
8497064_5,24747473_1,7978657_3
20467793_5,20092954_5,4991774_2
16321838_3,5112988_2,10050130_5
4234645_4,9949901_5,8182619_3
5997221_4,8955798_2,21502803_1
12195075_3,9669865_3,21341952_5
13551675_4,8937655_4,10507350_5
10120186_5,15746200_3,14995863_5
6197601_4,5371801_5,10525576_4
18724756_2,10913594_4,1018322_3
9609345_5,7151335_4,18374220_3
21118982_5,9141739_4,6807092_4
17086216_3,12835161_1,25750641_5
20492823_1,16499927_3,7680009_4
16420991_5,6044179_2,5301934_2
14916109_3,12561593_3,6122558_1
15026153_5,13100876_1,11920640_3
4447740_4,12166481_4,7523889_2
26973058_5,5824023_2,8044995_5
9319543_2,22071317_3,13496541_1
18837230_2,16628371_3,8344037_5
15246352_5,6737672_4,16241996_2
4069599_4,18924281_3,6676959_3
6148644_4,6047341_5,5160085_2
12119289_3,7681327_2,10110854_3
6913475_4,11791306_4,16963177_3
4763833_4,19207976_3,13646985_4
9652642_5,7043893_4,1760664_2
15187756_2,23163349_5,13868316_5
17620675_1,23771209_5,8085371_1
15545214_5,16249498_1,4729239_2
6116088_2,13377999_1,574060_5
8635035_5,22840211_1,15157105_5
962557_4,4327547_2,11777351_2
17336929_4,7811724_1,19476752_3
5806611_2,5153279_2,3328457_4
9746763_5,9194858_5,1066258_4
842114_3,11481836_1,2321868_4
7072324_2,9882076_5,23340132_5
10936436_2,18143715_4,25386718_5
3580163_2,21356651_1,12949235_5
25867041_1,8446715_2,14389819_3
17768999_1,8902961_4,15516253_5
511781_2,10183563_3,11042645_5
445797_1,5757117_2,2175601_3
10550675_1,3399177_4,5766089_2
11588817_2,19284425_1,17593394_5
28855689_1,654392_5,5518567_1
11966359_3,6717392_5,9882549_1
10008115_1,15732742_3,10810427_4
13335130_1,16664306_3,26790168_5
24821795_5,12416761_1,22381110_5
15726695_5,14387306_3,1795231_4
9882549_1,17361373_1,6945863_4
3502256_4,13999207_5,1737485_1
4987532_2,4672111_1,9411264_5
6511851_3,2019922_4,9226057_3
12937246_4,22211911_3,18434142_5
11062277_1,21091851_3,21242802_3
4156521_4,9729660_4,20478922_5
15310954_5,18312230_2,12173824_1
2069173_3,12460616_1,25175230_1
16763884_4,1289537_4,19567903_1
1283271_5,1982800_4,7615316_5
16387424_1,9145982_5,22729863_1
29888436_1,19509230_2,14980987_3
12340416_4,4510439_4,826755_5
11306876_4,6509479_5,7869335_5
3770670_1,21633630_1,14047719_4
10291943_3,8166985_5,15709027_2
10896907_3,8360192_2,24995777_1
18072672_2,18763225_3,5681315_4
24849657_1,12660912_2,1795663_5
7619377_4,21850100_5,10404801_3
9611373_1,16079296_4,266543_3
30200878_1,8262438_4,6629854_4
13571143_3,24030443_5,11786576_5
14216282_5,11225664_2,8945405_5
9905983_3,10479914_4,2066208_4
1938434_1,15826832_1,8474708_4
4217502_4,13579223_3,10142997_5
14510601_2,13180527_5,11652897_4
3519723_2,2396914_2,16617563_5
3981401_2,7403253_1,11502523_5
10899346_1,8618512_2,16828082_4
13412174_1,23589371_1,2731841_4
5828089_4,26957850_5,23915722_1
16412447_5,18712696_3,8489964_5
4091225_4,16236495_4,9933441_4
2304938_3,6578135_4,12307185_3
6742221_4,22151965_1,7588976_4
7643775_4,18347253_5,13490676_3
11322130_3,21243290_1,8077577_2
27457016_1,6493678_4,10848029_1
17832913_1,15582800_1,10163228_5
2084905_2,1249480_4,2282031_2
17025967_1,7634539_4,23154964_1
21453111_1,17589606_4,7950219_5
6120904_2,3686071_1,9312661_2
7448351_1,9559622_3,8030148_4
10578141_5,1088195_5,12670166_4
10296165_2,14531755_4,9789910_4
13921159_2,11450305_1,10152649_1
18582677_5,17381720_2,15850115_3
20570003_3,26583060_1,16691402_3
5244837_2,25808603_5,17046271_3
22587534_1,10651832_3,5726656_1
13349886_1,9135473_5,10634182_5
528214_5,677725_2,4968836_2
5711630_4,15634801_4,16542869_2
17945030_5,2067591_4,3251001_3
5751342_4,7542308_4,2353883_5
1742494_5,17680332_5,18278257_3
10870784_2,11227994_5,6786823_2
16038991_1,16040017_5,14588377_1
6325733_2,5495139_5,13619364_3
8007599_2,7376056_2,28377403_1
4431540_5,13895695_5,13309391_2
22051142_5,16861067_4,25004038_1
14520380_3,21693425_1,16660716_2
12467166_2,5952270_2,7026209_1
26265439_5,26899430_5,7104838_4
25808603_5,2128641_2,26707017_1
22228823_1,11346636_2,7216352_4
24708988_5,2140761_4,851474_4
2121001_2,16451403_1,13921159_2
11215550_3,17353712_5,8833256_5
5640295_3,17339549_5,22604242_1
21524904_1,16282125_4,14723368_4
14267224_4,1500721_2,16122358_1
15813532_5,13467823_3,7225233_2
4915246_1,16178259_1,9739590_3
18333704_1,1318936_4,7813352_4
6742263_2,17493198_5,7909692_1
6438484_2,14499053_4,5062746_4
12292554_2,5595785_4,23451472_1
20160075_1,328998_2,228359_4
12034258_1,23154964_1,649334_4
13891754_5,15026153_5,16355669_4
3796676_4,10234525_4,26814786_5
4387984_2,11184309_4,18233630_1
6143297_1,18206809_2,9770232_4
5238475_2,9248951_5,23081670_5
13637413_1,11786576_5,5238475_2
1747572_5,17468311_4,19710206_3
